threshold,class,accuracy,f1,precision,recall,tp,fp,tn,fn
0.4,aggregate,0.9879518072289156,0.9894736842105263,1.0,0.9791666666666666,47,0,35,1
0.4,photograph,0.9879518072289156,0.9882352941176471,1.0,0.9767441860465116,42,0,40,1
0.4,illustration,0.963855421686747,0.7692307692307693,0.7142857142857143,0.8333333333333334,5,2,75,1
0.4,map,0.9759036144578314,0.0,0.0,0.0,0,2,81,0
0.4,comic,0.9879518072289156,0.0,0.0,0.0,0,0,82,1
0.4,editorial_cartoon,0.9879518072289156,0.0,0.0,0.0,0,1,82,0
0.5,aggregate,0.9879518072289156,0.9894736842105263,1.0,0.9791666666666666,47,0,35,1
0.5,photograph,0.9879518072289156,0.9882352941176471,1.0,0.9767441860465116,42,0,40,1
0.5,illustration,0.963855421686747,0.7272727272727273,0.8,0.6666666666666666,4,1,76,2
0.5,map,0.9759036144578314,0.0,0.0,0.0,0,2,81,0
0.5,comic,0.9879518072289156,0.0,0.0,0.0,0,0,82,1
0.5,editorial_cartoon,0.9879518072289156,0.0,0.0,0.0,0,1,82,0
0.6,aggregate,0.9759036144578314,0.9787234042553191,1.0,0.9583333333333334,46,0,35,2
0.6,photograph,0.9759036144578314,0.9761904761904762,1.0,0.9534883720930233,41,0,40,2
0.6,illustration,0.963855421686747,0.7272727272727273,0.8,0.6666666666666666,4,1,76,2
0.6,map,0.9759036144578314,0.0,0.0,0.0,0,2,81,0
0.6,comic,0.9879518072289156,0.0,0.0,0.0,0,0,82,1
0.6,editorial_cartoon,0.9879518072289156,0.0,0.0,0.0,0,1,82,0
0.7,aggregate,0.927710843373494,0.9333333333333333,1.0,0.875,42,0,35,6
0.7,photograph,0.963855421686747,0.963855421686747,1.0,0.9302325581395349,40,0,40,3
0.7,illustration,0.927710843373494,0.25,0.5,0.16666666666666666,1,1,76,5
0.7,map,0.9759036144578314,0.0,0.0,0.0,0,2,81,0
0.7,comic,0.9879518072289156,0.0,0.0,0.0,0,0,82,1
0.7,editorial_cartoon,0.9879518072289156,0.0,0.0,0.0,0,1,82,0
